Permisionario,Bioenergético,Entidad federativa,Municipio,Latitud,Longitud,2° Desahogo,Respuesta info 1er sem 2024
"Biocombustibles Juanita, S.A.P.I. De C.V.",Etanol anhidro,Ciudad de México,Miguel Hidalgo,19.4326,-99.1332,,Sus 15 días vencen el 30 sept
"Biocombustibles Tomatlán, S.A.P.I. De C.V. ",Etanol anhidro,Ciudad de México,Miguel Hidalgo,19.4326,-99.1332,,Sus 15 días vencen el 30 sept
"Ingenio La Gloria, S.A.",Etanol anhidro,Ciudad de México,Cuajimalpa de Morelos,19.4326,-99.1332,,Remitió información el 24 de sept
"Corp Oil Mexicana, S.A. De C.V.",Biodiésel,San Luis Potosi,San Luis Potosi,22.1565,-100.9855,,Sus 15 días vencen el 30 sept
"M&L Enterprises, S. De R.L. De C.V.",Biodiésel,Querétaro,Santiago de Querétaro,20.5888,-100.3899,,Remitieron información el 27 de septiembre 
"Comercializadora Integral, J&B S.A. De C.V.",Biodiésel,Veracruz de Ignacio de la Llave,Veracruz,,,,Remitieron información el 24 de septiembre 
"Energía Girón, S.A. De C.V.",Biodiésel,Yucatán,Merida,20.9674,-89.5926,,Remitieron información el 04/10/2024 por DHL
"Axiona Soluciones Estratégicas, S.A. De R.L.",Etanol Anhidro,Veracruz de Ignacio de la Llave,Orizaba,,,,
"Mexican Commodities, S.A. De C.V.",Biodiésel,Ciudad de México,Tlalpan,19.4326,-99.1332,,Remitieron información el 30 de septiembre 
"Blue Fuel, S.A.P.I. De C.V.",Etanol anhidro,Guadalajara,"Jalisco
",,,,
"Biocombustibles Juanita, S.A.P.I. De C.V.",Etanol anhidro,Ciudad de México,Miguel Hidalgo,19.4326,-99.1332,,Sus 15 días vencen el 30 sept
"Biocombustibles Tomatlán, S.A.P.I. De C.V.",Etanol anhidro,Ciudad de México,Miguel Hidalgo,19.4326,-99.1332,,Sus 15 días vencen el 30 sept
"Fabricación De Alimentos Tenerife, S.A. De C.V.",Etanol anhidro,Veracruz de Ignacio de la Llave,Orizaba,,,,Remitieron información el 24 de septiembre 
"Alcoholera De Zapopan, S.A. De C.V.",Etanol Anhidro,Jalisco,Zapopan,20.6597,-103.3496,,Remitieron información el 24 de septiembre 
"Bioenergéticos Mexicanos, S.A.P.I.",Etanol Anhidro,Tamaulipas,Valle hermoso,23.7369,-99.1411,,
"Soluciones En Ingeniería Naval, Marina Y Terrestre, S.A. De C.V.",etanol anhidro ,Veracruz de Ignacio de la Llave,Alvarado,,,27/05/2025,Remitieron su información el 02/09/2024
Carlos García Vara,Biogás,Coahuila,Torreón,25.438,-100.9739,,Remitieron información el 24 de septiembre 
"Brimex Energy, S.A. De C.V.",Biogás,Ciudad de México,Cuauhtémoc,19.4326,-99.1332,15/04/2025,Remitieron informe el 20 de septiembre
